Vendor,Job,Date,PO No.,Item,Description,Qty.,Rate,Unit,Amount,Tax
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30365,"8"" x 3"" CONCENTRIC S/STD BW SMLS REDUCER A420-Gr.WPL6",2,$245.0,ea.,$490.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3/4"" on 2"" 3000# SOCKOLET A105",13,$7.17,ea.,$93.21,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3/4"" on 10"" 3000# SOCKOLET A105",2,$7.17,ea.,$14.34,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3/4"" on 3"" 3000# SOCKOLET A350-LF2 CL1",2,$22.69,ea.,$45.38,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3/4"" on 8"" 3000# SOCKOLET A350-LF2 CL1",2,$22.69,ea.,$45.38,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3/4"" on 10"" 3000# THREADOLET A105",2,$6.81,ea.,$13.62,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"1"" on 2"" 3000# THREADOLET A105",4,$7.99,ea.,$31.96,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"2"" on 6"" WELDOLET BW S/XH A105",1,$19.43,ea.,$19.43,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"2"" on 10"" WELDOLET S/XH A105",6,$19.43,ea.,$116.58,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"2"" on 12"" WELDOLET S/XH A105",6,$19.43,ea.,$116.58,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"2"" on 20"" WELDOLET S/XH A105",1,$19.43,ea.,$19.43,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"2"" 150# RF BLIND FLANGE A105",5,$26.18,ea.,$130.9,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"1"" 600# RF SOCKETWELD S/XH FLANGE A105",3,$69.44,ea.,$208.32,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"2"" 150# RF WELDNECK S/XH FLANGE A105",22,$28.95,ea.,$636.9,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"2"" 300# RF WELDNECK S/XH FLANGE A105",5,$40.64,ea.,$203.2,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"2"" 600# RF WELDNECK S/XH FLANGE A105",7,$42.45,ea.,$297.15,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3"" 600# RF WELDNECK S/XH FLANGE A105",1,$69.36,ea.,$69.36,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"4"" 300# RF WELDNECK S/XH FLANGE A105",1,$78.71,ea.,$78.71,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"6"" 600# RF WELDNECK S/XH FLANGE A105",1,$217.95,ea.,$217.95,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"10"" 300# RF WELDNECK S/STD FLANGE A105",8,$370.8,ea.,$2966.4,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"10"" 600# RF WELDNECK S/80 FLANGE A105",4,$825.0,ea.,$3300.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"12"" 600# RF WELDNECK S/40 FLANGE A105",1,$1119.0,ea.,$1119.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"12"" 600# RF WELDNECK S/80 FLANGE A105",2,$1150.0,ea.,$2300.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3/4"" 300# RF SOCKETWELD S/XH FLANGE A350-Gr.LF2 CL1",2,$70.7,ea.,$141.4,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"2"" 300# RF WELDNECK S/XH FLANGE A350-Gr.LF2 CL1",2,$98.0,ea.,$196.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3"" 300# RF WELDNECK S/STD FLANGE A350-Gr.LF2 CL1",2,$103.0,ea.,$206.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"6"" 150# RF WELDNECK S/STD FLANGE A350-Gr.LF2 CL1",2,$111.5,ea.,$223.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"8"" 150# RF WELDNECK S/STD FLANGE A350-Gr.LF2 CL1",2,$210.0,ea.,$420.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"8"" 300# RF WELDNECK S/STD FLANGE A350-Gr.LF2 CL1",4,$295.0,ea.,$1180.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"14"" 300# RF WELDNECK S/40 FLANGE A350-Gr.LF2 CL1",4,$898.0,ea.,$3592.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3/4"" 300# RF SOCKETWELD FLANGE S/80S A182-F304/304L",2,$119.4,ea.,$238.8,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3/4"" 600# RF SOCKETWELD FLANGE S/80S A182-F304L",2,$160.0,ea.,$320.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"2"" 600#RF WELDNECK S/80S FLANGE A182-F304/304L",11,$416.0,ea.,$4576.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3/4"" x 4"" PIPE NIPPLE S/160 A106-Gr.B PBE",14,$16.47,ft.,$230.58,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3/4"" x 4"" PIPE NIPPLE S/160 A106-Gr.B PXT",3,$16.47,ft.,$49.41,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3/4"" x 4"" PIPE NIPPLE S/160 A106-Gr.B TBE",3,$16.47,ft.,$49.41,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"1"" X 2"" PIPE NIPPLE S/160 A106-Gr.B TBE",8,$18.38,ft.,$147.04,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"1"" X 4"" PIPE NIPPLE S/160 A106-Gr.B PBE",2,$18.89,ft.,$37.78,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3/4"" X 4"" PIPE NIPPLE S/160 A333-Gr.6 PBE",12,$19.72,ea.,$236.64,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3/4"" x 4"" PIPE NIPPLE S/80 SMLS A312-TP304L PBE",3,$26.71,ea.,$80.13,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"1/2"" PLUG HEX HEAD 3000LB THREADED A105",1,$0.96,ea.,$0.96,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3/4"" PLUG HEX HEAD 3000LB THREADED A105",26,$1.79,ea.,$46.54,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3/4"" PLUG, HEX HEAD, THRD, 3000LB A350-Gr.LF2 CL1",8,$21.74,ea.,$173.92,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3/4"" UNION 3000# , GJ, THREADED A105, MSS-SP-83",1,$10.82,ea.,$10.82,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"1"" UNION 3000# GJ THREADED FS A105, MSS-SP-83",4,$16.08,ea.,$64.32,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"1"" UNION 3000#, GJ, SOCKETWELD A105, MSS-SP-83",2,$17.09,ea.,$34.18,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3/4"" COUPLING 3000#, THREADED, A105",1,$2.71,ea.,$2.71,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"1"" CPLG, SW, 3000LB FS, ASTM A182-F304L",1,$27.79,ea.,$27.79,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30645,"5/8"" x 4"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM   F1941-(Fe/Cd) 8AN ",26,$0.0,ea.,$0.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30645,"5/8"" x 4"" STUD BOLT A320-Gr.L7 with (2) A194-Gr.L7 HEAVY HEX NUTS, CADMIUM PLATED PER ASTM  F1941-(Fe/Cd) 8AN ",10,$0.0,ea.,$0.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30645,"5/8"" x 4"" STUD BOLT A320-Gr.B8, ANNEALED AND STRAIN HARDENED CLASS 2, with (2) A194-Gr.8 HEAVY HEX NUTS",14,$0.0,ea.,$0.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30645,"5/8"" x 4 3/4"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM   F1941-(Fe/Cd) 8AN ",36,$0.0,ea.,$0.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30645,"5/8"" x 4 3/4"" STUD BOLT A320-Gr.L7 with (2) A194-Gr.7L HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN ",44,$0.0,ea.,$0.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30645,"5/8"" x 4 3/4"" STUD BOLT A320-Gr.B8, ANNEALED AND STRAIN HARDENED CLASS 2, with (2) A194-Gr.8 HEAVY HEX NUTS",26,$14.5,ea.,$377.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30645,"5/8"" x 6 1/2"" STUD BOLT A320-Gr.L7 with (2) A194-Gr.7L HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN ",8,$0.0,ea.,$0.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30645,"3/4"" x 4 3/4"" STUD BOLT A320-Gr.B8, ANNEALED AND STRAIN HARDENED CLASS 2, with (2) A194-Gr.8 HEAVY HEX NUTS",6,$0.0,ea.,$0.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30645,"3/4"" x 5"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM   F1941-(Fe/Cd) 8AN ",18,$0.0,ea.,$0.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30645,"3/4"" x 5 1/4"" STUD BOLT A320-Gr.B8, ANNEALED AND STRAIN HARDENED CLASS 2, with (2) A194-Gr.8 HEAVY HEX NUTS",14,$0.0,ea.,$0.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30645,"3/4"" x 5 1/2"" STUD BOLT A320-Gr.B8, ANNEALED AND STRAIN HARDENED CLASS 2, with (2) A194-Gr.8 HEAVY HEX NUTS",70,$0.0,ea.,$0.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30645,"3/4"" x 7"" STUD BOLT A320-Gr.B8, ANNEALED AND STRAIN HARDENED CLASS 2, with (2) A194-Gr.8 HEAVY HEX NUTS",14,$0.0,ea.,$0.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30645,"7/8"" x 6"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN ",184,$0.0,ea.,$0.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30645,"7/8"" x 6"" STUD BOLT A320-Gr.L7 with (2) A194-Gr.L7 HEAVY HEX NUTS, CADMIUM PLATED PER ASTM  F1941-(Fe/Cd) 8AN ",14,$0.0,ea.,$0.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30645,"7/8"" x 6"" STUD BOLT A320-Gr.B8, ANNEALED AND STRAIN HARDENED CLASS 2, with (2) A194-Gr.8 HEAVY HEX NUTS",26,$0.0,ea.,$0.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30645,"1 "" x 6"" STUD BOLT A193-Gr.B7 with (2) A194-Gr.2H HEAVY HEX NUTS, CADMIUM PLATED PER ASTM F1941-(Fe/Cd) 8AN  ",6,$0.0,ea.,$0.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30645,"1"" x 6"" STUD BOLT A320-Gr.B8, ANNEALED AND STRAIN HARDENED CLASS 2, with (2) A194-Gr.8 HEAVY HEX NUTS",36,$0.0,ea.,$0.0,6.3333%
