Vendor,Job,Date,PO No.,Item,Description,Qty.,Rate,Unit,Amount,Tax
Airgas USA  LLC,,2022-08-31,6958-002,None555,V-Gard Visor Pc Clear Molded 10.375 X 17 X .098 Antifog ,50,$55.0,ea,$2750.0,6.3333%
Airgas USA  LLC,,2022-08-31,6958-002,None224,3M Virtua Css Glasses W/Foam Gasket Smoke,20,$12.0,ea,$240.0,6.3333%
Airgas USA  LLC,,2022-08-31,6958-002,None622,V-Gard Visor Pc Clear Molded 10.375 X 17 X .098 Antifog ,50,$29.0,ea,$1450.0,6.3333%
Airgas USA  LLC,,2022-08-31,6958-002,NoneNone,V-Gard Visor Pc Clear Molded 10.375 X 17 X .098 Antifog ,50,$28.99,ea,$1449.5,6.3333%
Airgas USA  LLC,,2022-09-01,6958-002,NoneNone,Radians Cheaters Smoke 1.5,12,$9.99,ea.,$119.88,6.3333%
Airgas USA  LLC,,2022-09-01,6958-002,NoneNone,,3,$0.0,,$0.0,6.3333%
Airgas USA  LLC,,2022-09-01,6958-002,NoneNone, ,5,$0.0, ,$0.0,6.3333%
Airgas USA  LLC,,2022-09-01,6958-002,NoneNone, ,4,$0.0, ,$0.0,6.3333%
Airgas USA  LLC,,2022-09-01,6958-002,NoneNone,,3,$0.0,,$0.0,6.3333%
Airgas USA  LLC,,2022-09-01,6958-002,NoneNone,"Radians Smoke PC Clearer 34""",2,$0.0,None,$0.0,6.3333%
Airgas USA  LLC,,2022-09-01,6958-002,NoneNone, ,43,$0.0, ,$0.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-12,6958-002,30NA,TEST ITEM EA,1,$111.0,ea.,$111.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-12,6958-002,30630,ANOTHER TEST ITEM A106,6,$5.0,ft.,$30.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-12,6958-002,30645,"3/4"" x 4 1/2"" STUD BOLT A193-B7 with (2) A194-2H NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",36,$3.47,ea.,$124.92,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-12,6958-002,30645,"3/4"" x 4 1/2"" STUD BOLT A193-B7M with (2) A194-2HM NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",36,$0.0,ea.,$0.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-12,6958-002,30645,"3/4"" x 4 3/4"" STUD BOLT A193-B7 with (2) A194-2H NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",22,$0.0,ea.,$0.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-12,6958-002,30645,"3/4"" x 4 3/4"" STUD BOLT A193-B7M with (2) A194-2HM NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",20,$8.22,ea.,$164.4,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-12,6958-002,30645,"3/4"" x 5"" STUD BOLT A193-B7 with (2) A194-2H NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",72,$3.68,ea.,$264.96,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30640,"6” 600# S/40 RFWN ORIFICE FLANGE SET SA-105 FLANGES, COMPLETE WITH A193-Gr.B7 STUDS & A194-Gr.2H NUTS CADMIUM PLATED, WITH (2) SETS OF ½” SW PRESSURE TAPS 180 DEGREES APART, WITH (2)  1/8""THK 600LB RF, 316LSS SPIRAL WOUND, FLEXICARB FILLER, CS GUIDE RING, FLEXITALLIC CGI STYLE GREEN w/ GRAY STRIPE GASKETS AND JACK SCREW. Tag: FE 4701",1,$625.0,ea.,$625.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30NA,weird and long pipe,22,$44.0,ea.,$968.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30630,"1"" S/XH (0.179"" Wall) Seamless PIPE A106-Gr.B",20,$12.49,ft.,$249.8,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30630,"2"" S/XH (0.218"" Wall) Seamless PIPE A106-Gr.B",600,$19.5,ft.,$11700.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30630,"10"" S/STD (0.365"" Wall) Seamless PIPE A106-Gr.B",40,$109.09,ft.,$4363.6,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"2"" S/XH (0.218"" Wall) Seamless PIPE A333-Gr.6",60,$34.8,ea.,$2088.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3"" S/STD (0.216"" Wall) Seamless PIPE A333-Gr.6",20,$37.14,ea.,$742.8,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"8"" S/STD (0.322"" Wall) Seamless PIPE A333-Gr.6",140,$107.14,ea.,$14999.6,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"10"" S/80 (0.594"" Wall) Seamless PIPE A333-Gr.6",180,$323.07,ea.,$58152.6,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"14"" S/40 (0.438"" Wall) Seamless PIPE A333-Gr.6",60,$194.31,ea.,$11658.6,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3/4"" S/80S (0.154""Wall) Seamless PIPE A312-TP304L",20,$24.33,ea.,$486.6,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"2"" S/80S (0.218""Wall) Seamless PIPE A312-TP304/304L",20,$45.97,ea.,$919.4,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3/4"" ELL 45-Deg 3000# SOCKETWELD A105",1,$8.08,ea.,$8.08,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"10"" ELL 45-Deg LR S/80 BW SMLS  A420-Gr.WPL6",1,$695.0,ea.,$695.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"1"" ELL 90-Deg 3000# THREADED A105",8,$9.29,ea.,$74.32,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"1"" ELL 90-Deg 3000# SOCKETWELD A105",3,$6.59,ea.,$19.77,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"2"" ELL 90-Deg LR S/XH BW SMLS A234-Gr.WPB",62,$19.6,ea.,$1215.2,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"6"" ELL 90-Deg LR S/XH BW SMLS A234-Gr.WPB",3,$148.8,ea.,$446.4,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"10"" ELL 90-Deg LR S/STD BW SMLS A234-Gr.WPB",4,$272.02,ea.,$1088.08,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"12"" ELL 90-Deg LR S/40 BW SMLS A234-Gr.WPB",4,$675.0,ea.,$2700.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3/4"" ELL 90-Deg 3000# SOCKETWELD A350-Gr.LF2 CL1",1,$30.89,ea.,$30.89,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"2"" ELL 90-Deg LR S/XH BW SMLS A420-Gr.WPL6",3,$70.5,ea.,$211.5,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3"" ELL 90-Deg LR S/STD BW SMLS  A420-Gr.WPL6",2,$41.71,ea.,$83.42,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"4"" ELL 90-Deg LR S/STD BW SMLS A420-Gr.WPL6",4,$56.74,ea.,$226.96,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"8"" ELL 90-Deg LR S/STD BW SMLS A420-Gr.WPL6",10,$205.0,ea.,$2050.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"10"" ELL 90-Deg LR S/80 BW SMLS A420-Gr.WPL6",9,$846.15,ea.,$7615.35,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"12"" ELL 90-Deg LR S/80 BW SMLS A420-Gr.WPL6",2,$1079.0,ea.,$2158.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"14"" ELL 90-Deg LR S/40 BW SMLS A420-Gr.WPL6",8,$1118.0,ea.,$8944.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3/4"" ELL 90-Deg 3000# SOCKETWELD A182-F304/304L",4,$40.44,ea.,$161.76,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"1"" ELL 90-Deg 3000# SOCKETWELD A182-F304L",1,$47.81,ea.,$47.81,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"3/4"" TEE 3000# THREADED A105",3,$10.81,ea.,$32.43,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30NA,"1"" TEE 3000# SOCKETWELD A-105",3,$11.41,ea.,$34.23,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30NA,"2"" TEE S/XH BW SMLS A234-Gr.WPB",11,$31.59,ea.,$347.49,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,3/4'' TEE 3000# SOCKETWELD A350-Gr.LF2 CL1,1,$39.3,ea.,$39.3,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30NA,"8"" x 6"" REDUCING TEE S/STD BW SMLS A420-Gr.WPL6",2,$295.0,ea.,$590.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30NA,"10"" x 6"" REDUCING TEE S/80 BW SMLS A420-Gr.WPL6",1,$896.0,ea.,$896.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"12"" x 6"" REDUCING TEE S/80 BW SMLS A420-Gr.WPL6",1,$1352.0,ea.,$1352.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"1"" x 3/4"" REDUCING TEE 3000# SOCKETWELD A182-F304L",4,$117.69,ea.,$470.76,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30NA,"2"" TEE BW, SMLS, S/80S ASTM A403-Gr.WP304L",1,$85.71,ea.,$85.71,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30NA,"3/4"" X 1/2"" CONCENTRIC S/160 SWAGE A234-Gr.WPB TBE",1,$28.08,ea.,$28.08,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30NA,"1"" X 3/4"" CONCENTRIC S/XH SWAGE A234-Gr.WPB PBE",1,$24.63,ea.,$24.63,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30NA,"1"" X 3/4"" CONCENTRIC S/160 SWAGE SMLS A234-Gr.WPB PBE",1,$27.11,ea.,$27.11,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30NA,"2"" x 1/2"" CONCENTRIC S/80 X S/160 SWAGE A234-Gr.WPB BXP",1,$77.34,ea.,$77.34,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30NA,"2"" x 3/4"" CONCENTRIC S/80 X S/80 SWAGE A234-Gr.WPB BXT",1,$67.39,ea.,$67.39,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30NA,"2"" x 3/4"" CONCENTRIC S/80 X S/160 SWAGE A234-Gr.WPB BXP",12,$97.29,ea.,$1167.48,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30NA,"2"" x 1"" CONCENTRIC S/80 X S/80 SWAGE SMLS A234-Gr.WPB BXP",4,$48.57,ea.,$194.28,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"2"" x 1"" CONCENTRIC S/80 X S/160 SWAGE SMLS A234-Gr.WPB BXP",1,$61.44,ea.,$61.44,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30NA,"2"" x 3/4"" CONCENTRIC S/XH x S/160 SWAGE SMLS A420-Gr.WPL6 BXP ",2,$105.0,ea.,$210.0,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"1"" X 3/4"" CONCENTRIC S/80S x S/80S SWAGE A182-F304L PBE",1,$37.67,ea.,$37.67,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"2"" X 3/4"" CONCENTRIC S/80s x S/80S SWAGE A182-F304L BXP",1,$218.2,ea.,$218.2,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30635,"2"" X 1"" CONCENTRIC S/80s x S/80 SWAGE A182-F304L BXP",1,$212.18,ea.,$212.18,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30NA,"3"" x 2"" CONCENTRIC S/XH BW SMLS REDUCER A234-Gr.WPB ",1,$20.09,ea.,$20.09,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30NA,"4"" x 2"" CONCENTRIC S/STD x S/XH BW SMLS REDUCER A234-Gr.WPB",2,$33.68,ea.,$67.36,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30NA,"6"" x 2"" CONCENTRIC S/XH BW SMLS REDUCER A234-Gr.WPB",1,$191.4,ea.,$191.4,6.3333%
Airgas USA  LLC,Field\Fabrication Job,2022-09-09,6958-002,30NA,"3"" x 2"" CONCENTRIC S/ STD x S/XH BW SMLS REDUCER A420-Gr.WPL6",2,$32.41,ea.,$64.82,6.3333%
