Vendor,Job,Date,PO No.,Item,Description,Qty.,Rate,Unit,Amount,Tax
Airgas USA  LLC,,2022-08-31,6958-002,NoneNone,V-Gard Visor Pc Clear Molded 10.375 X 17 X .098 Antifog ,50,$29.0,ea,$1450.0,2.9%
Airgas USA  LLC,,2022-08-31,6958-002,NoneNone,3M Virtua Css Glasses W/Foam Gasket Smoke,20,$10.99,ea,$219.8,2.9%
Airgas USA  LLC,,2022-08-31,6958-002,NoneNone,V-Gard Visor Pc Clear Molded 10.375 X 17 X .098 Antifog ,50,$28.99,ea,$1449.5,2.9%
Airgas USA  LLC,,2022-08-31,6958-002,NoneNone,V-Gard Visor Pc Clear Molded 10.375 X 17 X .098 Antifog ,50,$28.99,ea,$1449.5,2.9%
Airgas USA  LLC,,2022-09-01,6958-002,NoneNone,Radians Cheaters Smoke 1.5,12,$9.99,ea.,$119.88,2.9%
Airgas USA  LLC,,2022-09-01,6958-002,NoneNone,,3,$0.0,,$0.0,2.9%
Airgas USA  LLC,,2022-09-01,6958-002,NoneNone, ,5,$0.0, ,$0.0,2.9%
Airgas USA  LLC,,2022-09-01,6958-002,NoneNone, ,4,$0.0, ,$0.0,2.9%
Airgas USA  LLC,,2022-09-01,6958-002,NoneNone,,3,$0.0,,$0.0,2.9%
Airgas USA  LLC,,2022-09-01,6958-002,NoneNone,"Radians Smoke PC Clearer 34""",2,$0.0,None,$0.0,2.9%
Airgas USA  LLC,,2022-09-01,6958-002,NoneNone, ,43,$0.0, ,$0.0,2.9%
Airgas USA  LLC,Field\Fabrication Job,2022-09-12,6958-002,30NA,TEST ITEM EA,1,$111.0,ea.,$111.0,2.9%
Airgas USA  LLC,Field\Fabrication Job,2022-09-12,6958-002,30630,ANOTHER TEST ITEM A106,6,$5.0,ft.,$30.0,2.9%
Airgas USA  LLC,Field\Fabrication Job,2022-09-12,6958-002,30645,"3/4"" x 4 1/2"" STUD BOLT A193-B7 with (2) A194-2H NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",36,$3.47,ea.,$124.92,2.9%
Airgas USA  LLC,Field\Fabrication Job,2022-09-12,6958-002,30645,"3/4"" x 4 1/2"" STUD BOLT A193-B7M with (2) A194-2HM NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",36,$0.0,ea.,$0.0,2.9%
Airgas USA  LLC,Field\Fabrication Job,2022-09-12,6958-002,30645,"3/4"" x 4 3/4"" STUD BOLT A193-B7 with (2) A194-2H NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",22,$0.0,ea.,$0.0,2.9%
Airgas USA  LLC,Field\Fabrication Job,2022-09-12,6958-002,30645,"3/4"" x 4 3/4"" STUD BOLT A193-B7M with (2) A194-2HM NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",20,$8.22,ea.,$164.4,2.9%
Airgas USA  LLC,Field\Fabrication Job,2022-09-12,6958-002,30645,"3/4"" x 5"" STUD BOLT A193-B7 with (2) A194-2H NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",72,$3.68,ea.,$264.96,2.9%
