Vendor,Job,Date,PO No.,Item,Description,Qty.,Rate,Unit,Amount,Tax
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10NA,SOMEITEMERROR,33,$3.0,gf,$99.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10NA,START OF TEST,26,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"5/8"" x 4"" STUD BOLT A320-Gr.L7 with (2) A194-Gr.L7 HEAVY HEX NUTS, CADMIUM PLATED PER ASTM  F1941-(Fe/Cd) 8AN ",10,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"3/4"" x 4 1/2"" STUD BOLT A193-B7 with (2) A194-2H NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",36,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"3/4"" x 4 1/2"" STUD BOLT A193-B7M with (2) A194-2HM NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",36,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"3/4"" x 4 3/4"" STUD BOLT A193-B7 with (2) A194-2H NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",22,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"3/4"" x 4 3/4"" STUD BOLT A193-B7M with (2) A194-2HM NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",20,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"3/4"" x 5"" STUD BOLT A193-B7 with (2) A194-2H NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",72,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"3/4"" x 5 1/4"" STUD BOLT A193-B7 with (2) A194-2H NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",66,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"3/4"" x 5 1/4"" STUD BOLT A193-B7M with (2) A194-2HM NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",20,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"3/4"" x 5 3/4"" STUD BOLT A193-B7 with (2) A194-2H NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",32,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"7/8"" x 5 1/4"" STUD BOLT A193-B7 with (2) A194-2H NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",54,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"7/8"" x 5 1/4"" STUD BOLT A193-B7M with (2) A194-2HM NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",14,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"7/8"" x 5 1/4"" STUD BOLT A193-B7 with (2) A194-2H NUTS, BLACK ZINC, PER ASTM F1941 (Fe/Zn) 5AN",14,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"7/8"" x 5 1/4"" STUD BOLT A193-B7M with (2) A194-2HM NUTS, ZINC PLATED COATED, 0.10 MIL NOMINAL THICKNESS",14,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"7/8"" x 6"" STUD BOLT A193-B7M with (2) A194-2HM NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",14,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"7/8"" x 6 1/4"" STUD BOLT A193-B7 with (2) A194-2H NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",82,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"7/8"" x 6 1/2"" STUD BOLT A193-B7 with (2) A194-2H NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",10,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"1"" x 7 1/2"" STUD BOLT A193-B7 with (2) A194-2H NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",42,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"1"" x 7 1/2"" STUD BOLT A193-B7 with (2) A194-2H NUTS, BLACK ZINC, PER ASTM F1941 (Fe/Zn) 5AN",16,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"1"" x 7 1/2"" STUD BOLT A193-B7 with (2) A194-2H NUTS, BLACK ZINC COATED, 0.10 MIL NOMINAL THICKNESS",28,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"1"" x 7 3/4"" STUD BOLT A193-B7 with (2) A194-2H NUTS, BLACK ZINC COATED, 0.10 MIL NOMINAL THICKNESS",142,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"1"" x 8"" STUD BOLT A193-B7 with (2) A194-2H NUTS, BLACK ZINC COATED, 0.10 MIL NOMINAL THICKNESS",20,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"1"" x 13"" STUD BOLT A193-B7 with (2) A194-2H NUTS, BLACK ZINC COATED, 0.10 MIL NOMINAL THICKNESS",14,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"1 1/8"" x 7 1/2"" STUD BOLT A193-B7 with (2) A194-2H NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",28,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"1 1/8"" x 8 1/4"" STUD BOLT A193-B7 with (2) A194-2H NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",122,$0.0,,$0.0,7.75%
Airgas USA  LLC,Corporate Office,2022-09-07,7067-005,10645,"1 1/8"" x 8 1/2"" STUD BOLT A193-B7 with (2) A194-2H NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",66,$0.0,,$0.0,7.75%
