Vendor,Job,Date,PO No.,Item,Description,Qty.,Rate,Unit,Amount,Tax
Airgas USA  LLC,Field\Fabrication Job,2022-09-12,7199-001,30645,"3/4"" x 4 1/2"" STUD BOLT A193-B7 with (2) A194-2H NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",36,$3.47,,$124.92,6.25%
Airgas USA  LLC,Field\Fabrication Job,2022-09-12,7199-001,30645,"3/4"" x 4 1/2"" STUD BOLT A193-B7M with (2) A194-2HM NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",36,$0.0,,$0.0,6.25%
Airgas USA  LLC,Field\Fabrication Job,2022-09-12,7199-001,30645,"3/4"" x 4 3/4"" STUD BOLT A193-B7 with (2) A194-2H NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",22,$0.0,,$0.0,6.25%
Airgas USA  LLC,Field\Fabrication Job,2022-09-12,7199-001,30645,"3/4"" x 4 3/4"" STUD BOLT A193-B7M with (2) A194-2HM NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",20,$8.22,,$164.4,6.25%
Airgas USA  LLC,Field\Fabrication Job,2022-09-12,7199-001,30645,"3/4"" x 5"" STUD BOLT A193-B7 with (2) A194-2H NUTS, ZINC PLATED PER ASTM F1941 (Fe/Zn) 5AN",72,$3.68,,$264.96,6.25%
